t_s,mass_mean_kg
0.000000,0.150000
1.000000,0.149836
2.000000,0.149685
3.000000,0.149542
4.000000,0.149388
5.000000,0.149239
6.000000,0.149088
7.000000,0.148928
8.000000,0.148620
9.000000,0.148300
10.000000,0.147984
11.000000,0.147679
12.000000,0.147396
13.000000,0.147145
14.000000,0.146880
15.000000,0.146602
16.000000,0.146307
17.000000,0.146000
18.000000,0.145678
19.000000,0.145359
20.000000,0.145031
21.000000,0.144708
22.000000,0.144385
23.000000,0.144039
24.000000,0.143683
25.000000,0.143309
26.000000,0.142932
27.000000,0.142538
28.000000,0.142156
29.000000,0.141793
30.000000,0.141429
31.000000,0.141061
32.000000,0.140704
33.000000,0.140358
34.000000,0.140018
35.000000,0.139690
36.000000,0.139355
37.000000,0.139024
38.000000,0.138686
39.000000,0.138342
40.000000,0.138002
41.000000,0.137690
42.000000,0.137377
43.000000,0.137050
44.000000,0.136716
45.000000,0.136374
46.000000,0.136031
47.000000,0.135676
48.000000,0.135311
49.000000,0.134947
50.000000,0.134578
51.000000,0.134214
52.000000,0.133847
53.000000,0.133471
54.000000,0.133111
55.000000,0.132769
56.000000,0.132403
57.000000,0.132052
58.000000,0.131700
59.000000,0.131359
60.000000,0.131000
61.000000,0.130642
62.000000,0.130303
63.000000,0.129966
64.000000,0.129628
65.000000,0.129288
66.000000,0.128936
67.000000,0.128582
68.000000,0.128253
69.000000,0.127906
70.000000,0.127547
71.000000,0.127195
72.000000,0.126832
73.000000,0.126468
74.000000,0.126085
75.000000,0.125718
76.000000,0.125364
77.000000,0.124996
78.000000,0.124622
79.000000,0.124229
80.000000,0.123836
81.000000,0.123449
82.000000,0.123060
83.000000,0.122681
84.000000,0.122304
85.000000,0.121915
86.000000,0.121526
87.000000,0.121150
88.000000,0.120779
89.000000,0.120410
90.000000,0.120048
91.000000,0.119663
92.000000,0.119271
93.000000,0.118884
94.000000,0.118497
95.000000,0.118110
96.000000,0.117737
97.000000,0.117359
98.000000,0.116977
99.000000,0.116580
100.000000,0.116186
101.000000,0.115802
102.000000,0.115409
103.000000,0.115012
104.000000,0.114615
105.000000,0.114218
106.000000,0.113827
107.000000,0.113445
108.000000,0.113061
109.000000,0.112705
110.000000,0.112349
111.000000,0.111992
112.000000,0.111643
113.000000,0.111280
114.000000,0.110910
115.000000,0.110543
116.000000,0.110163
117.000000,0.109786
118.000000,0.109410
119.000000,0.109026
120.000000,0.108625
121.000000,0.108222
122.000000,0.107812
123.000000,0.107388
124.000000,0.106956
125.000000,0.106528
126.000000,0.106087
127.000000,0.105647
128.000000,0.105211
129.000000,0.104788
130.000000,0.104357
131.000000,0.103914
